12°07′02″S,-12.11724722,77°00′37″W,-77.01021531,0.9585,148.158°
12°06′43″S,-12.11185667,77°01′11″W,-77.01975109,0.5731,247.996°
12°06′09″S,-12.10263241,77°01′11″W,-77.01964305,0.9634,327.363°
12°06′12″S,-12.10338902,77°00′34″W,-77.00937365,0.941,39.4°
12°06′16″S,-12.10446038,77°00′47″W,-77.01292088,0.6437,19.181°
12°06′49″S,-12.1137465,77°01′05″W,-77.01804116,0.5475,219.104°
12°06′16″S,-12.10432286,77°00′31″W,-77.00856541,0.9262,47.709°
12°06′10″S,-12.10282534,77°00′51″W,-77.01421659,0.793,5.106°
12°06′53″S,-12.11461658,77°01′16″W,-77.02103713,0.8501,232.143°
12°07′00″S,-12.11656138,77°00′33″W,-77.00918836,0.9622,140.085°
12°06′26″S,-12.10711657,77°01′05″W,-77.01808041,0.4689,311.793°
12°06′37″S,-12.11028574,77°00′53″W,-77.01460048,0.0493,144.205°
12°06′17″S,-12.10480719,77°01′12″W,-77.02010182,0.8053,314.996°
12°06′22″S,-12.10615198,77°01′11″W,-77.01969885,0.6727,308.613°
12°07′02″S,-12.11716708,77°01′03″W,-77.01762085,0.8593,200.408°
12°06′45″S,-12.11246826,77°00′28″W,-77.00780148,0.8186,110.206°
12°06′47″S,-12.11312782,77°00′53″W,-77.01465069,0.3568,176.247°
12°06′41″S,-12.11139921,77°00′28″W,-77.00765211,0.8014,101.796°
12°06′59″S,-12.11628878,77°00′38″W,-77.01047019,0.854,145.964°
12°06′20″S,-12.10561877,77°00′41″W,-77.01149923,0.603,37.383°
12°06′23″S,-12.10649639,77°00′46″W,-77.01282403,0.4414,30.197°
12°07′08″S,-12.11880417,77°00′50″W,-77.01385357,0.9936,173.641°
12°06′08″S,-12.10209651,77°00′45″W,-77.01239454,0.9114,17.149°
12°07′00″S,-12.11673318,77°01′11″W,-77.01974795,0.9247,215.042°
12°06′53″S,-12.11475589,77°00′27″W,-77.00751643,0.963,123.907°
12°06′34″S,-12.10938903,77°01′18″W,-77.02153628,0.7279,274.709°
12°06′51″S,-12.11430488,77°01′20″W,-77.02229914,0.9438,238.934°
12°06′29″S,-12.10816317,77°00′47″W,-77.01299826,0.2823,45.997°
12°07′06″S,-12.11835498,77°00′42″W,-77.0116132,1.002,159.33°
12°06′39″S,-12.11077049,77°00′44″W,-77.01235664,0.2885,108.989°
12°06′42″S,-12.11177159,77°01′11″W,-77.01959442,0.5537,248.244°
12°06′24″S,-12.10654389,77°00′27″W,-77.00748006,0.8869,64.902°
12°06′23″S,-12.10636811,77°00′42″W,-77.01156992,0.5339,42.163°
12°06′31″S,-12.10859086,77°00′25″W,-77.00690496,0.8784,80.264°
12°06′27″S,-12.10750803,77°00′35″W,-77.00980261,0.6128,63.963°
12°06′16″S,-12.10437943,77°01′05″W,-77.01804887,0.7075,330.702°
12°06′31″S,-12.10852881,77°01′18″W,-77.0216536,0.7544,281.891°
12°06′15″S,-12.10416855,77°00′52″W,-77.01442236,0.6422,4.304°
12°06′11″S,-12.103157,77°00′50″W,-77.01398241,0.759,7.269°
12°06′54″S,-12.1148714,77°00′41″W,-77.01137098,0.6685,145.358°
12°06′38″S,-12.11046919,77°00′28″W,-77.00772855,0.7785,94.449°
12°06′40″S,-12.11111709,77°01′15″W,-77.02084854,0.664,258.494°
12°07′02″S,-12.11709904,77°01′07″W,-77.01848267,0.8895,206.246°
12°06′44″S,-12.11229545,77°01′15″W,-77.02083866,0.701,247.92°
12°06′09″S,-12.10237823,77°00′52″W,-77.01443953,0.8408,3.158°
12°06′27″S,-12.10748049,77°00′52″W,-77.01437859,0.2772,11.014°
12°06′29″S,-12.10806943,77°01′05″W,-77.01810146,0.4081,300.409°
12°06′26″S,-12.10711173,77°01′25″W,-77.02347254,0.987,288.492°
12°06′56″S,-12.11560209,77°01′04″W,-77.0176937,0.7022,205.975°
12°06′38″S,-12.11053146,77°01′05″W,-77.01804785,0.3526,258.995°
12°06′03″S,-12.10087398,77°00′52″W,-77.01443194,1.008,2.681°
12°06′18″S,-12.10505148,77°00′32″W,-77.00894528,0.8417,49.898°
12°06′56″S,-12.11564263,77°00′59″W,-77.0166596,0.6651,197.06°
12°06′23″S,-12.10635726,77°01′19″W,-77.02198079,0.8697,297.158°
12°06′32″S,-12.10877783,77°01′25″W,-77.02374199,0.9737,277.538°
12°06′07″S,-12.1018272,77°00′58″W,-77.01611002,0.911,351.456°
12°06′46″S,-12.11279369,77°00′57″W,-77.01572808,0.3324,196.391°
